"omop_table","omop_column","omop_required","omop_type","mimic_table","mimic_column","mimic_type","comments"
"OBSERVATION","observation_id","Yes","integer","chartevents","row_id",,
"OBSERVATION","person_id","Yes","integer","chartevents","subject_id",,
"OBSERVATION","observation_concept_id","Yes","integer",,,,
"OBSERVATION","observation_date","Yes","date","chartevents","charttime::date",,
"OBSERVATION","observation_datetime","No","datetime","chartevents","charttime",,
"OBSERVATION","observation_type_concept_id","Yes","integer",,,,
"OBSERVATION","value_as_number","No","float","chartevents",,,
"OBSERVATION","value_as_string","No","varchar(60)","chartevents",,,
"OBSERVATION","value_as_concept_id","No","Integer",,,,
"OBSERVATION","qualifier_concept_id","No","integer",,,,
"OBSERVATION","unit_concept_id","No","integer",,,,
"OBSERVATION","provider_id","No","integer","chartevents","cgid",,"modified version of cgid to match the concept one"
"OBSERVATION","visit_occurrence_id","No","integer","chartevents","hadm_id",,
"OBSERVATION","visit_detail_id","No","integer","chartevents","itemid",,
"OBSERVATION","observation_source_value","No","varchar(50)","d_items","label",,
"OBSERVATION","observation_source_concept_id","No","integer","chartevents","itemid",,"modified version of itemid to match the concept one"
"OBSERVATION","unit_source_value","No","varchar(50)","chartevents","valueuom",,
"OBSERVATION","qualifier_source_value","No","varchar(50)",,,,"?put tue status here ?"
