item_id,snomed,concept_id
225440,44491008,4195288
221255,105376000,4019824
228130,450432001,42872441
225792,26763009,4097246
225967,258528007,4124280
225475,87317003,317109
225462,240917005,4081708
227715,284394000,4111530
225463,284394000,4111530
225820,284405008,4109351
225460,284405008,4109351
221219,4970003,4175809
225789,423786009,4309701
225400,10847001,4032404
225427,77343006,4299523
225443,371572003,4155794
227712,238356005,4030842
225432,433236007,4335825
225470,398068008,4162219
225450,53438000,4205728
225447,122462000,4046266
227550,386718000,4304943
228125,711070007,46272666
228228,711070007,46272666
224385,112798008,4013354
225315,432019001,4329775
225203,432019001,4329775
225439,423827005,4313889
225442,86259008,4314001
228286,430824005,4326816
225819,398205000,4160041
225459,399208008,4163872
225466,410429000,321042
225401,30088009,4107893
225444,30088009,4107893
225469,397821002,4265599
225433,264957007,4141919
225802,714749008,37018292
225479,91602002,4240305
225454,117010004,4024509
228127,22759000,4332162
228126,22759000,4332162
225441,233575001,4051326
225966,312882009,4208080
225817,397394009,4265146
227711,241031001,4081548
227714,241031001,4081548
226124,230940006,4048955
226475,446523001,40488299
227551,20720000,4049372
227194,271280005,4150627
225468,271280005,4150627
225477,271280005,4150627
224275,233520008,4049832
224277,233520008,4049832
224274,233520008,4049832
224276,233520008,4049832
224566,233520008,4049832
225205,233520008,4049832
225467,177765008,4073393
224272,16965008,4060257
226474,230938001,4045610
228129,711066004,46273928
228128,711066004,46273928
228136,711066004,46273928
221214,363023007,4180642
225814,117028002,4024963
225464,281572005,4083499
225449,309849004,4149930
221216,168537006,4056681
225445,89305009,4231419
225816,401294003,4296651
225437,104174003,4014499
225457,60654006,4264477
223253,113091000,4013636
226236,77326008,4299518
225448,48387007,4168133
226237,48387007,4168133
225202,312376000,4194152
225474,1912002,436583
225805,71192002,4324124
225821,175853000,4022792
225476,175853000,4022792
224560,65677008,4279768
224269,65677008,4279768
224273,65677008,4279768
225451,104173009,4015189
227713,18946005,4078199
225399,277762005,4080549
228201,700151002,45763688
228202,700151002,45763688
228169,700151002,45763688
225752,392247006,4213288
224263,233527006,4052413
224267,233527006,4052413
227719,233527006,4052413
224268,233527006,4052413
225199,233527006,4052413
225446,235159007,4122234
225794,428311008,4177224
226477,233175008,4049398
224270,61740001,4267880
226476,173676001,4067105
225402,29303009,4163951
225429,235212007,4125150
224264,425196008,4322380
225204,425196008,4322380
225434,73761001,4249893
225430,34945008,4148369
221223,54550000,4181917
225465,29857009,77670
221217,16310003,4037672
225472,36118008,253796
